Pilsēta;Laiks;Stundas maksimālā temperatūra;Stundas minimālā temperatūra;Stundas vidējā temperatūra;Stundas nokrišņu daudzums;Vidējais vēja ātrums novērojumu termiņā (10 min. vidējais);Stundas maksimālās vēja brāzmas;Stundas minimālā redzamība;Stundas vidējā redzamība;Stundas vidējais sniega segas biezums;Atmosfēras spiediens jūras līmenī novērojuma termiņā (milibāros);Rasas punkta temperatūra novērojuma termiņā;Relatīvais gaisa mitrums novērojumu termiņā;Saules spīdēšanas ilgums;Laika parādības
Ainaži;13.04 20:00;+14.0;+12.9;+13.5;0.0;3.9;7.3;20000;20000;0.0;760.6;+4.3;56;;
Alūksne;13.04 20:00;+11.7;+10.6;+11.3;0.0;2.7;7.4;20000;20000;0.0;761.4;+0.8;50;0.0;
Bauska;13.04 20:00;+13.2;+12.2;+12.8;0.0;6.6;12.1;20000;20000;0.0;759.4;+3.3;55;;
Dagda;13.04 20:00;+12.3;+11.5;+12.0;0.0;0.8;3.4;20000;20000;0.0;760.0;+1.3;49;;
Daugavgrīva;13.04 20:00;+13.6;+12.1;+12.7;0.0;3.6;8.0;20000;20000;0.0;759.7;+1.6;45;;
Daugavpils;13.04 20:00;+11.3;+10.7;+11.1;0.0;0.3;3.4;11510;20000;0.0;759.9;+4.8;67;0.0;lietus
Dobele;13.04 20:00;+13.3;+12.2;+12.9;0.0;3.8;10.0;18480;20000;0.0;759.4;+4.6;60;0.0;
Gulbene;13.04 20:00;+14.0;+13.1;+13.5;0.0;4.6;8.2;20000;20000;0.0;760.6;+2.0;47;;
Jelgava;13.04 20:00;+13.6;+12.8;+13.2;0.0;5.4;11.2;20000;20000;0.0;759.4;+3.2;52;;
Kalnciems;13.04 20:00;;;;0.0;;;;;0.0;;;;;
Kolka;13.04 20:00;+8.2;+7.4;+7.8;0.0;2.1;6.9;20000;20000;0.0;760.0;+2.7;72;0.0;
Kuldīga;13.04 20:00;;;;;;;;;0.0;;;;;
Lielpēči;13.04 20:00;;;;0.0;;;;;0.0;;;;;
Liepāja;13.04 20:00;+12.7;+12.2;+12.5;0.0;3.9;7.5;19270;20000;0.0;758.2;+6.6;69;0.0;
Madona;13.04 20:00;+13.4;+12.3;+12.7;0.0;2.2;5.5;20000;20000;0.0;760.5;+0.9;46;;
Mērsrags;13.04 20:00;+12.3;+9.2;+11.2;0.0;1.7;4.0;13690;20000;0.0;759.9;+4.7;74;;
Pāvilosta;13.04 20:00;+12.9;+12.2;+12.6;0.0;3.2;10.3;20000;20000;0.0;758.5;+5.5;64;;
Piedruja;13.04 20:00;;;;0.0;;;;;0.0;;;;;
Priekuļi;13.04 20:00;+14.2;+13.8;+14.0;0.0;3.3;6.5;15390;20000;0.0;760.4;+0.9;41;;
Rēzekne;13.04 20:00;+13.7;+12.1;+13.0;0.0;1.5;5.3;20000;20000;0.0;760.3;+1.3;48;;
Rīga;13.04 20:00;+14.4;+14.0;+14.3;0.0;4.9;11.0;13380;15668;0.0;759.7;+1.6;43;0.0;
